排序,城市等级,等级内排序,年份,省份,城市,城市简称,城市代码,常住人口_万人,常住人口_人,人口口径,数据来源表,填补方式
1,超一线城市,1,2024,上海市,上海市,上海,310000,2480,24800000,常住人口,原始数据,未填补
2,超一线城市,2,2024,北京市,北京市,北京,110000,2183,21830000,常住人口,原始数据,未填补
3,超一线城市,3,2024,广东省,深圳市,深圳,440300,1799,17990000,常住人口,原始数据,未填补
4,超一线城市,4,2024,广东省,广州市,广州,440100,1898,18980000,常住人口,原始数据,未填补
5,新一线城市,1,2024,四川省,成都市,成都,510100,2147,21470000,常住人口,原始数据,未填补
6,新一线城市,2,2024,浙江省,杭州市,杭州,330100,1262,12620000,常住人口,原始数据,未填补
7,新一线城市,3,2024,重庆市,重庆市,重庆,500000,3190,31900000,常住人口,原始数据,未填补
8,新一线城市,4,2024,江苏省,苏州市,苏州,320500,1299,12990000,常住人口,原始数据,未填补
9,新一线城市,5,2024,湖北省,武汉市,武汉,420100,1381,13810000,常住人口,原始数据,未填补
10,新一线城市,6,2024,陕西省,西安市,西安,610100,1317,13170000,常住人口,原始数据,未填补
11,新一线城市,7,2024,江苏省,南京市,南京,320100,958,9580000,常住人口,原始数据,未填补
12,新一线城市,8,2024,湖南省,长沙市,长沙,430100,1062,10620000,常住人口,原始数据,未填补
13,新一线城市,9,2024,天津市,天津市,天津,120000,1364,13640000,常住人口,原始数据,未填补
14,新一线城市,10,2024,河南省,郑州市,郑州,410100,1309,13090000,常住人口,原始数据,未填补
15,新一线城市,11,2024,广东省,东莞市,东莞,441900,1057,10570000,常住人口,原始数据,未填补
16,新一线城市,12,2024,江苏省,无锡市,无锡,320200,751,7510000,常住人口,原始数据,未填补
17,新一线城市,13,2024,浙江省,宁波市,宁波,330200,978,9780000,常住人口,原始数据,未填补
18,新一线城市,14,2024,山东省,青岛市,青岛,370200,1044,10440000,常住人口,原始数据,未填补
19,新一线城市,15,2024,安徽省,合肥市,合肥,340100,1000,10000000,常住人口,原始数据,未填补
